CFK_annexation_property_history_annexation_id,annexation_property_history,annexation_id,annexation,annexation_id
CFK_annexation_property_history_prop_id,annexation_property_history,prop_id,property,prop_id
CFK_appr_notice_customization_notice_name,appr_notice_customization,notice_name,appr_notice_format,szDefaultForm
CFK_appr_notice_prop_list_notice_yr_notice_num,appr_notice_prop_list,notice_yr,appr_notice_selection_criteria,notice_yr
CFK_appr_notice_prop_list_notice_yr_notice_num,appr_notice_prop_list,notice_num,appr_notice_selection_criteria,notice_num
CFK_appr_notice_prop_list_entity_exemption_notice_yr_notice_num_prop_id_sup_yr_sup_num_owner_id_exmpt_type_cd,appr_notice_prop_list_entity_exemption,notice_yr,appr_notice_prop_list_exemption,notice_yr
CFK_appr_notice_prop_list_entity_exemption_notice_yr_notice_num_prop_id_sup_yr_sup_num_owner_id_exmpt_type_cd,appr_notice_prop_list_entity_exemption,notice_num,appr_notice_prop_list_exemption,notice_num
CFK_appr_notice_prop_list_entity_exemption_notice_yr_notice_num_prop_id_sup_yr_sup_num_owner_id_exmpt_type_cd,appr_notice_prop_list_entity_exemption,prop_id,appr_notice_prop_list_exemption,prop_id
CFK_appr_notice_prop_list_entity_exemption_notice_yr_notice_num_prop_id_sup_yr_sup_num_owner_id_exmpt_type_cd,appr_notice_prop_list_entity_exemption,owner_id,appr_notice_prop_list_exemption,owner_id
CFK_appr_notice_prop_list_entity_exemption_notice_yr_notice_num_prop_id_sup_yr_sup_num_owner_id_exmpt_type_cd,appr_notice_prop_list_entity_exemption,sup_num,appr_notice_prop_list_exemption,sup_num
CFK_appr_notice_prop_list_entity_exemption_notice_yr_notice_num_prop_id_sup_yr_sup_num_owner_id_exmpt_type_cd,appr_notice_prop_list_entity_exemption,sup_yr,appr_notice_prop_list_exemption,sup_yr
CFK_appr_notice_prop_list_entity_exemption_notice_yr_notice_num_prop_id_sup_yr_sup_num_owner_id_exmpt_type_cd,appr_notice_prop_list_entity_exemption,exmpt_type_cd,appr_notice_prop_list_exemption,exmpt_type_cd
CFK_appr_notice_selection_criteria_notice_yr,appr_notice_selection_criteria,notice_yr,appr_notice_config_maint,notice_yr
CFK_arb_assoc_prop_id,arb_assoc,prop_id,property,prop_id
CFK_arbitration_arbitration_status,arbitration,arbitration_status,arbitration_status,status_cd
CFK_arbitration_reject_reason,arbitration,reject_reason,arbitration_reject,reject_cd
CFK_arbitration_arbitration_method,arbitration,arbitration_method,arbitration_method,method_cd
CFK_arbitration_additional_evidence_type,arbitration,additional_evidence_type,arbitration_additional_evidence,evidence_cd
CFK_arbitration_case_assoc_arbitration_id_prop_val_yr,arbitration_case_assoc,arbitration_id,arbitration,arbitration_id
CFK_arbitration_case_assoc_arbitration_id_prop_val_yr,arbitration_case_assoc,prop_val_yr,arbitration,prop_val_yr
CFK_arbitration_case_assoc_prop_id_prop_val_yr_case_id,arbitration_case_assoc,prop_val_yr,_arb_protest,prop_val_yr
CFK_arbitration_case_assoc_prop_id_prop_val_yr_case_id,arbitration_case_assoc,case_id,_arb_protest,case_id
CFK_arbitration_case_assoc_prop_id_prop_val_yr_case_id,arbitration_case_assoc,prop_id,_arb_protest,prop_id
CFK_arbitration_contact_arbitration_id_prop_val_yr,arbitration_contact,arbitration_id,arbitration,arbitration_id
CFK_arbitration_contact_arbitration_id_prop_val_yr,arbitration_contact,prop_val_yr,arbitration,prop_val_yr
CFK_arbitration_contact_contact_type_cd,arbitration_contact,contact_type_cd,arbitration_contact_type,contact_type_cd
CFK_arbitration_event_arbitration_id_prop_val_yr,arbitration_event,arbitration_id,arbitration,arbitration_id
CFK_arbitration_event_arbitration_id_prop_val_yr,arbitration_event,prop_val_yr,arbitration,prop_val_yr
CFK_arbitration_event_event_cd,arbitration_event,event_cd,arbitration_event_type,event_type_cd
CFK_arbitration_letter_history_arbitration_id_prop_val_yr,arbitration_letter_history,arbitration_id,arbitration,arbitration_id
CFK_arbitration_letter_history_arbitration_id_prop_val_yr,arbitration_letter_history,prop_val_yr,arbitration,prop_val_yr
CFK_arbitrator_arbitrator_id,arbitrator,arbitrator_id,account,acct_id
CFK_assessment_bill_year_agency_id,assessment_bill,year,special_assessment,year
CFK_assessment_bill_year_agency_id,assessment_bill,agency_id,special_assessment,agency_id
CFK_assessment_bill_bill_id,assessment_bill,bill_id,bill,bill_id
CFK_attorney_attorney_id,attorney,attorney_id,account,acct_id
CFK_attribute_val_imprv_attr_id,attribute_val,imprv_attr_id,attribute,imprv_attr_id
CFK_attribute_value_code_characteristic_cd,attribute_value_code,characteristic_cd,characteristic_value_code,characteristic_cd
CFK_account_type_cd_autopay_account_type,autopay_enrollment,account_type_cd,autopay_account_type,account_type_cd
CFK_payment_cd_autopay_payment_code,autopay_enrollment,payment_cd,autopay_payment_code,payment_cd
CFK_bill_bill_id,bill,bill_id,trans_group,trans_group_id
CFK_bill_code,bill,code,bill_fee_code,bill_fee_cd
CFK_bill_payment_status_type_cd,bill,payment_status_type_cd,payment_status_type,payment_status_type_cd
CFK_bill_adjustment_bill_id,bill_adjustment,bill_id,bill,bill_id
CFK_bill_adjustment_batch_id,bill_adjustment,batch_id,batch,batch_id
CFK_bill_adjustment_previous_bill_fee_cd,bill_adjustment,previous_bill_fee_cd,bill_fee_code,bill_fee_cd
CFK_bill_adjustment_bill_fee_cd,bill_adjustment,bill_fee_cd,bill_fee_code,bill_fee_cd
CFK_bill_fee_assoc_bill_id,bill_fee_assoc,bill_id,bill,bill_id
CFK_bill_fee_assoc_fee_id,bill_fee_assoc,fee_id,fee,fee_id
CFK_bill_payments_due_bill_id,bill_payments_due,bill_id,bill,bill_id
CFK_building_permit_bldg_permit_status,building_permit,bldg_permit_status,bp_issuer_status_cd,IssuerStatus
CFK_building_permit_bldg_permit_cad_status,building_permit,bldg_permit_cad_status,bp_cad_status_cd,CadStatus
CFK_building_permit_bldg_permit_type_cd,building_permit,bldg_permit_type_cd,bld_permit_type,bld_permit_type_cd
CFK_building_permit_bldg_permit_sub_type_cd,building_permit,bldg_permit_sub_type_cd,bld_permit_sub_type,PermitSubtypeCode
CFK_building_permit_bldg_permit_issuer,building_permit,bldg_permit_issuer,building_permit_issuer,issuer_cd
CFK_building_permit_bldg_permit_appraiser_id,building_permit,bldg_permit_appraiser_id,appraiser,appraiser_id
CFK_building_permit_bldg_permit_worksheet_type_cd,building_permit,bldg_permit_worksheet_type_cd,building_permit_worksheet_type,type_cd
CFK_building_permit_import_error_run_id,building_permit_import_error,run_id,import_building_permit,run_id
CFK_building_permit_tidemark_full_import_run_id,building_permit_tidemark_full_import,run_id,import_building_permit,run_id
CFK_building_permit_tidemark_inspection_update_import_run_id,building_permit_tidemark_inspection_update_import,run_id,import_building_permit,run_id
CFK_building_permit_transfer_source_building_permit_bldg_permit_id,building_permit_transfer,source_building_permit,building_permit,bldg_permit_id
CFK_building_permit_transfer_source_property_prop_id,building_permit_transfer,source_property,property,prop_id
CFK_building_permit_transfer_destination_building_permit_bldg_permit_id,building_permit_transfer,destination_building_permit,building_permit,bldg_permit_id
CFK_building_permit_transfer_destination_property_prop_id,building_permit_transfer,destination_property,property,prop_id
CFK_building_permit_worksheet_config_type_cd,building_permit_worksheet_config,type_cd,building_permit_worksheet_type,type_cd
CFK_buyer_assoc_chg_of_owner_id,buyer_assoc,chg_of_owner_id,chg_of_owner,chg_of_owner_id
CFK_buyer_assoc_buyer_id,buyer_assoc,buyer_id,account,acct_id
CFK_buyer_reet_assoc_reet_id,buyer_reet_assoc,reet_id,reet,reet_id
CFK_cad_exemptions_pacs_exemption_code,cad_exemptions,pacs_exemption_code,exmpt_type,exmpt_type_cd
CFK_cad_state_codes_pacs_state_code,cad_state_codes,pacs_state_code,state_code,state_cd
CFK_calculation_rule_condition_rule_id,calculation_rule_condition,rule_id,calculation_rule,rule_id
