arb_mtg_attendee,idx_arb_mtg_id_arb_inq_id,arb_inq_id
arbitration_case_assoc,idx_prop_id,prop_id
bill,idx_bill_owner_id,owner_id
bill,idx_is_overpaid_prop_id,is_overpaid
bill,idx_is_overpaid_prop_id,prop_id
bill,idx_is_overpaid_prop_id,bill_id
bill,idx_is_overpaid_prop_id,year
bill,idx_is_overpaid_prop_id,owner_id
bill,idx_payment_group_id,payment_group_id
bill,idx_prop_id_year_effective_due_date_current_amount_due_amount_paid,prop_id
bill,idx_prop_id_year_effective_due_date_current_amount_due_amount_paid,year
bill,idx_prop_id_year_effective_due_date_current_amount_due_amount_paid,effective_due_date
bill,idx_prop_id_year_effective_due_date_current_amount_due_amount_paid,current_amount_due
bill,idx_prop_id_year_effective_due_date_current_amount_due_amount_paid,amount_paid
bill,idx_rollback_id,rollback_id
bill,idx_year_statement_id,year
bill,idx_year_statement_id,statement_id
bill_adjustment,IDX_bill_adjustment_transaction_id,transaction_id
bill_adjustment,idx_bill_id_bill_adj_id,bill_id
bill_adjustment,idx_bill_id_bill_adj_id,bill_adj_id
bill_adjustment,idx_bill_id_bill_adj_id,modify_cd
bill_fee_assoc,idx_fee_id,fee_id
building_permit,idx_bldg_permit_city,bldg_permit_city
building_permit,idx_bldg_permit_import_dt,bldg_permit_import_dt
building_permit,idx_bldg_permit_issue_dt,bldg_permit_issue_dt
building_permit,idx_bldg_permit_num,bldg_permit_num
building_permit,idx_bldg_permit_status,bldg_permit_status
building_permit,idx_bldg_permit_street_name,bldg_permit_street_name
building_permit,idx_bldg_permit_sub_type_cd,bldg_permit_sub_type_cd
building_permit,idx_bldg_permit_type_cd,bldg_permit_type_cd
buyer_assoc,idx_buyer_id,buyer_id
ccCheckSum_abs_subdv_old,idx_PK,prop_id
ccCheckSum_abs_subdv_old,idx_PK,abs_subdv_cd
ccCheckSum_abs_subdv_old,idx_PK,abs_subdv_yr
ccCheckSum_account_old,idx_PK,prop_id
ccCheckSum_account_old,idx_PK,acct_id
ccCheckSum_address_old,idx_PK,prop_id
ccCheckSum_address_old,idx_PK,acct_id
ccCheckSum_address_old,idx_PK,addr_type_cd
ccCheckSum_building_permit_old,idx_PK,prop_id
ccCheckSum_building_permit_old,idx_PK,bldg_permit_id
ccCheckSum_ccProperty_old,idx_PK,prop_id
ccCheckSum_ccProperty_old,idx_PK,prop_val_yr
ccCheckSum_ccProperty_old,idx_PK,sup_num
ccCheckSum_chg_of_owner_old,idx_PK,prop_id
ccCheckSum_chg_of_owner_old,idx_PK,chg_of_owner_id
ccCheckSum_chg_of_owner_prop_assoc_old,idx_PK,chg_of_owner_id
ccCheckSum_chg_of_owner_prop_assoc_old,idx_PK,prop_id
ccCheckSum_Compare_RunInfo,idx_start_time,start_time
ccCheckSum_imprv_adj_old,idx_PK,prop_val_yr
ccCheckSum_imprv_adj_old,idx_PK,sup_num
ccCheckSum_imprv_adj_old,idx_PK,sale_id
ccCheckSum_imprv_adj_old,idx_PK,prop_id
ccCheckSum_imprv_adj_old,idx_PK,imprv_id
ccCheckSum_imprv_adj_old,idx_PK,imprv_adj_seq
ccCheckSum_imprv_adj_type_old,idx_PK,prop_id
ccCheckSum_imprv_adj_type_old,idx_PK,imprv_adj_type_year
ccCheckSum_imprv_adj_type_old,idx_PK,imprv_adj_type_cd
ccCheckSum_imprv_attr_old,idx_PK,prop_val_yr
ccCheckSum_imprv_attr_old,idx_PK,sup_num
ccCheckSum_imprv_attr_old,idx_PK,sale_id
ccCheckSum_imprv_attr_old,idx_PK,prop_id
ccCheckSum_imprv_attr_old,idx_PK,imprv_id
ccCheckSum_imprv_attr_old,idx_PK,imprv_det_id
ccCheckSum_imprv_attr_old,idx_PK,imprv_attr_id
ccCheckSum_imprv_attr_old,idx_PK,i_attr_val_id
ccCheckSum_imprv_det_adj_old,idx_PK,prop_val_yr
ccCheckSum_imprv_det_adj_old,idx_PK,sup_num
ccCheckSum_imprv_det_adj_old,idx_PK,sale_id
ccCheckSum_imprv_det_adj_old,idx_PK,prop_id
ccCheckSum_imprv_det_adj_old,idx_PK,imprv_id
ccCheckSum_imprv_det_adj_old,idx_PK,imprv_det_id
ccCheckSum_imprv_det_adj_old,idx_PK,imprv_det_adj_seq
ccCheckSum_imprv_detail_cms_addition_old,idx_PK,prop_val_yr
ccCheckSum_imprv_detail_cms_addition_old,idx_PK,sup_num
ccCheckSum_imprv_detail_cms_addition_old,idx_PK,sale_id
ccCheckSum_imprv_detail_cms_addition_old,idx_PK,prop_id
ccCheckSum_imprv_detail_cms_addition_old,idx_PK,imprv_id
ccCheckSum_imprv_detail_cms_addition_old,idx_PK,imprv_det_id
ccCheckSum_imprv_detail_cms_addition_old,idx_PK,section_id
ccCheckSum_imprv_detail_cms_addition_old,idx_PK,addition_id
ccCheckSum_imprv_detail_cms_component_old,idx_PK,prop_val_yr
ccCheckSum_imprv_detail_cms_component_old,idx_PK,sup_num
ccCheckSum_imprv_detail_cms_component_old,idx_PK,sale_id
ccCheckSum_imprv_detail_cms_component_old,idx_PK,prop_id
